rowname go_entrez
1 GO_0002924_722,725,1378,2302,5777,55061
2 GO_0006743_3156,4704,10229,23590,27235,29914,51004,51117,51805,56997,57017,57107,84274
3 GO_0016321_4292,5347,728637
4 GO_0018107_90,91,156,207,566,596,655,790,801,805,808,817,983,1020,1111,1116,1195,1859,1950,2011,2039,2475,2641,2932,3093,4092,4294,5170,5347,5470,5578,5579,5580,5585,5594,5599,6872,7040,7046,7048,7225,7443,7474,7786,8312,8473,8658,8767,8851,8877,9294,9730,9943,10114,10253,22853,22933,23645,27347,28996,51422,51701,51719,51763,53904,54541,55023,56288,57214,65125,65267,83903,85366,117854,120892,140469,161742,200734,219736
5 GO_0019317_2523,2524,2526,2527,2528,2529,2530,10690,84750
6 GO_0036137_883,2806,51166,56267
7 GO_0047496_1176,1201,1780,2647,3064,3799,5048,5590,5861,6845,8120,8546,8943,9001,9371,10125,10239,10947,11127,22920,23160,23557,26258,26985,54820,55330,63915,63971,79443,81565,84062,124997,254263,282991,388552
8 GO_0061289_2625,55366
9 GO_0097232_21,27074
10 GO_1901609_254263
11 GO_1903638_9141
