ROW,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48
R1,6873.996452167942,197431.9097518951,200535,196027,40664,221374,219048,216031,202565,197020,64460,206727,205761,198401,209037,199107,207429,216251,180654,192552,199004,195714,6596.842762603013,199625.1278798215,5437.482153462824,208115.06244430918,209263,215200,204943,198880,215450,191742,200461,196922,220528,226072,192443,193805,204682,41758,220582,193431,204041,202528,187791,207198,5511.008670891906,199492.00383180642
R2,6721.301691664214,203976.1861680998,231263,221292,197576,178715,201533,190520,175827,202322,214162,191710,221827,219751,215856,208054,205142,42484,213816,167119,186303,200360,6042.303433789119,201451.88017789045,8128.3418867795035,195327.63562597943,206182,213208,192288,207730,196859,195707,170592,182499,211101,190597,197391,229944,202465,198838,224793,197607,206320,194583,185634,290336,5523.054756253888,192387.61270119646
R3,6428.2735283151,202723.93846640483,201485,190581,223014,207722,176314,206620,206202,171154,209281,223948,198465,196978,199525,202726,205480,184286,182875,210979,205481,150244,6396.487854860126,187582.10252889985,7029.311321575599,201563.25887727368,206575,201813,44848,204509,202817,201881,203405,192866,216435,117729,202550,201038,187025,204985,202518,157836,223688,199250,205798,233942,6260.629809546665,209375.66169206233
R4,6396.799610633355,196632.08859525353,178787,186738,189053,201218,175017,185189,198871,203525,195331,189284,194199,179172,200368,170890,103993,204942,181952,207136,200137,194061,6900.827136467299,193124.9621259441,6841.135470495851,177440.11601277915,200197,202426,227377,193136,223799,205571,202866,186029,190203,198406,179903,193545,189879,210434,152559,198421,179949,202841,202079,176167,7656.811239814409,196390.41814204303
R5,6458.427671230525,197937.71788802213,186328,196253,206547,188572,201646,205513,201952,213802,195020,210161,198396,203319,213883,190862,212664,219552,201124,193038,207376,194509,6675.3737531044035,219922.17083277024,7267.027711913662,208083.26415086247,178840,223734,200348,188086,175933,205653,191435,193464,206119,202341,215636,170167,216641,193037,217673,214540,185149,207108,191567,197821,5729.195569023428,192544.583859872
R6,5336.774607216007,185886.0153648806,209875,194391,196654,198384,185536,183023,214698,189452,183734,46750,210159,172720,211879,204944,214087,207172,198956,214672,203709,192877,7349.030748214095,199834.2493591641,6792.269033976312,189204.7387079924,190271,208811,195217,199678,185650,181762,172525,188194,212376,201694,192748,188420,208851,199856,229787,198056,201945,204490,181037,203658,7004.484746883145,198063.51621073543
R7,7118.117824789637,198274.13525670656,211708,187323,175961,198935,200031,218003,190595,198042,203455,182162,82437,193142,181605,198265,212493,202634,207324,227049,194183,219803,6644.555677462466,202237.95030300703,6621.229520556917,207644.6502098973,203163,190654,180517,278215,181856,220016,262575,204345,193931,191760,194979,197988,196077,183810,200569,195003,197513,197755,44340,230201,7650.282562847947,200905.24274738866
R8,7330.7820818866585,196421.3433100156,192701,210631,203672,175794,201828,214191,204666,209737,195407,221977,189931,211435,181464,190197,212413,213159,201163,202009,177049,203328,5638.422984841822,199327.62441580917,5810.0305735884795,207882.10742076088,231854,205813,178800,205856,188913,203013,206818,204347,170497,166708,203603,197208,26240,213425,216254,200853,191844,215064,213868,211073,6534.260014188069,186577.02950121302
R9,5798.773756445823,194021.2728713725,223012,191458,189289,196336,197670,186685,199870,191086,187407,195699,196229,195110,206717,209712,205370,182918,193244,195582,186540,177021,4908.430159942499,195824.15924350786,5739.1597314422315,208937.43087394215,197279,226518,195193,147257,209135,202819,194534,212681,204367,194411,202055,190989,202808,218983,210172,211842,210607,209041,219293,182564,5428.05642201794,204556.92409698782
R10,6326.379339740703,214043.47092009042,208713,195540,191788,210864,202980,186956,209065,205783,208295,216054,190609,205834,193628,207348,176934,89336,206412,209546,198190,156950,5881.4593991585025,190346.44981168845,5468.444103385953,195161.954713754,189228,205821,191380,197976,213367,219212,214333,209356,200378,82183,214431,207986,185250,186435,185836,214738,206172,212150,186190,206876,5804.9845970622355,185660.4257065901
